hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,0,2015,October,40,1,0,1,3,0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,,,0,Transient-Party,120,0,2,Check-Out,10/2/2015
Resort Hotel,1,63,2015,October,40,1,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,68.4,0,2,Canceled,9/8/2015
Resort Hotel,0,44,2015,October,40,1,0,3,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,118.5,0,2,Check-Out,10/4/2015
Resort Hotel,0,19,2015,October,40,1,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,87,0,1,Check-Out,10/4/2015
Resort Hotel,0,57,2015,October,40,1,0,3,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,48.3,1,2,Check-Out,10/4/2015
Resort Hotel,0,24,2015,October,40,1,0,3,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,93,1,2,Check-Out,10/4/2015
Resort Hotel,0,22,2015,October,40,1,1,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,65,0,1,Check-Out,10/5/2015
Resort Hotel,0,51,2015,October,40,1,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,56,0,3,Check-Out,10/5/2015
Resort Hotel,0,23,2015,October,40,1,1,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,65,0,1,Check-Out,10/5/2015
Resort Hotel,0,79,2015,October,40,1,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,,0,Contract,66,0,0,Check-Out,10/6/2015
Resort Hotel,0,48,2015,October,40,1,2,3,2,0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,240,,0,Transient,86,0,1,Check-Out,10/6/2015
